Scan Iteration,theta_x,theta_y,delta_z
1,0.0342632154691338,0.0009183235851397775,-0.0805349523113974
2,0.035723832869795746,0.0009688465325637233,-0.10917219912642429
3,0.033339994395626515,0.000949824102272568,-0.09181608694245247
4,0.03348769715625943,0.0006290211374054848,-0.06974552945956258
5,0.03430357238430215,0.0005594562746555941,-0.09328370173572709
